TF	Experiment	cellLine
CTCF	GSM1233994	unknown
REST	GSM1334000	unknown
KDM1A	ENCSR360HRA_1	K562
BRD4	GSM1195561	unknown
KDM5B	GSM831011	unknown
CTCF	GSM1022675	unknown
POLR2A	GSM1727093	unknown
POLR2A	GSM2190582	unknown
HSF1	GSM1553236	unknown
FOXA1	GSM1574274	unknown
POLR2A	GSM486484	unknown
REST	GSM1010754	unknown
ESR1	GSM2797102	unknown
CTCF	GSM1234164	unknown
NR3C1	GSM1405407	unknown
POLR2A	GSM920943	unknown
GTF2F1	GSM935581	unknown
REST	GSM1290168	unknown
POLR2A	GSM1523079	unknown
CTCF	GSM749684	unknown
AR	GSM1515525	unknown
RBPJ	GSM2101764	unknown
PAF1	GSM874635	unknown
TBL1XR1	GSM935575	unknown
ETV4	GSM738817	unknown
FOXA1	GSM353633	unknown
ELF1	ENCSR975SSR_1	K562
GATA2	GSM1488758	unknown
POLR2A	GSM1091916	unknown
POLR2A	GSM803360	unknown
ESR1	GSM1295591	unknown
SPI1	GSM1703922	unknown
CTCF	GSM1817658	unknown
IKZF1	GSM935442	unknown
MYC	GSM762708	unknown
STAG1	GSM1234179	unknown
NR3C1	ENCSR919OXR_3	unknown
FOXA1	GSM1873044	unknown
PML	GSM1010771	unknown
CTCF	GSM2572332	unknown
EP300	GSM2550230	unknown
ESR1	GSM1348523	unknown
POLR2A	GSM2218764	unknown
RUNX2	GSM838400	unknown
FOXP2	GSM803353	unknown
ZNF143	GSM1239623	unknown
POLR2A	GSM1846795	unknown
POLR2A	GSM869310	unknown
E2F1	GSM2501567	unknown
SMARCA4	GSM2495985	unknown
RELA	GSM486300	unknown
CEBPB	ENCSR190VMK_1	unknown
NR3C1	GSM803358	unknown
GRHL2	GSM2171834	unknown
ZNF346	ENCSR162MTR_2	unknown
POLR2A	GSM1846793	unknown
CTCF	GSM1234028	unknown
ZNF610	ENCSR691TXI_1	HEK293
POLR2A	GSM2550210	unknown
CTCF	GSM1234199	unknown
ZNF24	ENCSR099NCH_1	K562
CTCF	ENCSR833FWC_1	transverse
ZNF121	ENCSR224QDY_1	HEK293
POLR2A	GSM1505717	unknown
MITF	GSM1565011	unknown
USF2	GSM2574799	unknown
ZNF143	GSM2024873	unknown
AR	GSM1207903	unknown
HES2	ENCSR979IOT_2	A549
E2F1	GSM2046832	unknown
CTCF	GSM1505620	unknown
EZH1	GSM2371321	unknown
CTCF	GSM2257816	unknown
RELA	GSM1239998	unknown
RAD21	ENCSR230ZWH_2	liver
POLR2A	GSM2405926	unknown
MED1	GSM2802959	unknown
EP300	GSM1239070	unknown
TP63	GSM1366688	unknown
CTCF	GSM1234010	unknown
BRD4	GSM2350453	unknown
BCL6	GSM2754202	unknown
EHMT2	GSM1644660	unknown
POLR2A	GSM2467774	unknown
POLR2A	GSM1388130	unknown
MBD2	ENCSR221GAN_1	K562
ESR1	GSM1523057	unknown
CREB1	GSM1239450	unknown
ICE1	GSM1162751	unknown
MEN1	GSM2264617	unknown
MAX	GSM1010835	unknown
ARRB1	GSM1340264	unknown
EZH2	GSM1215133	unknown
FOXA1	GSM2644578	unknown
FOXA1	GSM1470025	unknown
POLR2A	GSM2304870	unknown
SMARCA4	GSM2480811	unknown
JARID2	GSM1180157	unknown
CEBPD	GSM2394399	unknown
AFF4	GSM1405081	unknown
AR	GSM2086308	unknown
GATA1	GSM935465	unknown
POLR2A	GSM1192073	unknown
TRIM28	GSM700366	unknown
FOSL2	ENCSR563GCV_1	unknown
BRD4	GSM1328977	unknown
MEF2A	GSM803511	unknown
PROX1	GSM1831048	unknown
ZSCAN29	ENCSR175SZH_2	K562
ZNF202	ENCSR996FYT_1	HEK293
KDM5B	GSM1122671	unknown
E2F6	GSM935476	unknown
POLR2A	GSM2218644	unknown
FOSL2	ENCSR274WRI_3	unknown
SMARCA4	GSM2409694	unknown
EMX1	GSM1414509	unknown
BRD4	GSM823382	unknown
ATF3	ENCSR480LIS_2	liver
POLR2A	GSM1010824	unknown
ESR1	GSM1003711	unknown
ZNF18	ENCSR977HTH_1	HEK293
NEUROD1	GSM1700642	unknown
CTCF	GSM489296	unknown
INO80	GSM2190587	unknown
MYC	GSM822301	unknown
CTCF	GSM1003606	unknown
PATZ1	GSM2026872	unknown
GATA4	GSM2279955	unknown
AR	GSM2219854	unknown
RUNX1	GSM1595963	unknown
NANOG	GSM1933888	unknown
POLR2A	GSM1276023	unknown
FOXM1	GSM1876186	unknown
EZH2	GSM1003498	unknown
ESR1	GSM2915381	unknown
REL	GSM2628093	unknown
POLR2A	GSM1777589	unknown
PML	GSM468210	unknown
GABPA	GSM1861928	unknown
BRD4	GSM2316299	unknown
CTCF	GSM489302	unknown
MYC	GSM1033754	unknown
POLR2A	GSM1976301	unknown
AR	GSM1586664	unknown
BRD4	GSM1961131	unknown
FOXA1	GSM798439	unknown
E2F1	GSM1656410	unknown
HOXC9	GSM848788	unknown
BCL3	ENCSR013KHB_2	unknown
POLR2A	GSM2644614	unknown
TP63	GSM1366686	unknown
PIAS1	GSM2219874	unknown
BRPF3	GSM1556188	unknown
PAF1	GSM874636	unknown
BRD4	GSM2330582	unknown
ESR1	GSM365928	unknown
MED1	GSM2040037	unknown
PPARG	GSM1020363	unknown
STAG1	GSM1233885	unknown
RUNX1	GSM1697879	unknown
PHIP	GSM2711406	unknown
ESR1	GSM986059	unknown
STAT4	GSM671398	unknown
CTCF	GSM1233916	unknown
CTCF	ENCSR692ILH_1	spleen
POLR2A	GSM1091921	unknown
NR3C1	GSM2797136	unknown
BCL11B	GSM2247496	unknown
POLR2A	GSM1150964	unknown
ESR1	GSM2747692	unknown
GATA3	GSM2817661	unknown
ELL2	GSM1405087	unknown
MYC	GSM2065884	unknown
CTCF	GSM2572338	unknown
CTCF	GSM1233869	unknown
NR3C1	GSM2519947	unknown
BCL11B	ENCSR770PQN_1	HEK293
ESR1	GSM811215	unknown
AR	GSM1207908	unknown
CTCF	GSM1056576	unknown
CTCF	GSM489298	unknown
AR	GSM1907201	unknown
SMARCB1	GSM2409676	unknown
STAT5B	GSM1577745	unknown
ZNF623	ENCSR022IZK_2	HEK293
FLI1	GSM2436677	unknown
SUMO2	GSM1777606	unknown
FOXA1	GSM1873040	unknown
REST	GSM1333999	unknown
MYC	GSM1234501	unknown
FOSL2	ENCSR563GCV_3	unknown
TEAD4	GSM2232927	unknown
TFAP2C	GSM1011562	unknown
EZH2	GSM1180135	unknown
NFIC	GSM2902642	unknown
POLR2A	GSM1059398	unknown
POLR2A	GSM2218635	unknown
SMAD5	ENCSR251OVJ_1	GM12878
CTCF	GSM822312	unknown
ESR1	GSM2797115	unknown
POLR2A	GSM2055562	unknown
CTCF	GSM1233993	unknown
ESR1	GSM798390	unknown
POLR2A	GSM935358	unknown
EP300	GSM1470014	unknown
EP300	GSM1333960	unknown
XBP1	GSM1276191	unknown
SIN3A	GSM803428	unknown
POLR2A	GSM1847367	unknown
NR3C1	GSM2519945	unknown
MED1	GSM1679125	unknown
HDAC1	GSM1080932	unknown
MBD3	GSM1089819	unknown
POLR2A	GSM808776	unknown
SMAD1	GSM722398	unknown
FOXA1	GSM631473	unknown
POLR2A	GSM1010793	unknown
BANF1	GSM1645712	unknown
POLR2A	GSM935388	unknown
CEBPB	GSM1208598	unknown
GATA6	GSM1505660	unknown
CTCF	GSM749745	unknown
EP300	GSM831006	unknown
ESR1	GSM2747706	unknown
TET2	GSM2274677	unknown
CTCF	GSM534471	unknown
FAIRE	GSM748512	unknown
MED1	GSM894082	unknown
CTCF	GSM733784	unknown
NR3C1	GSM2095208	unknown
PAX5	GSM1703921	unknown
GTF2I	GSM1539058	unknown
CREB1	GSM1937941	unknown
TCF12	GSM1082308	unknown
AR	GSM1515526	unknown
SSRP1	GSM1103543	unknown
FOXH1	GSM727589	unknown
CTCF	ENCSR617IFZ_1	HEK293
BRD4	GSM2330581	unknown
GREB1	GSM1019129	unknown
POLR2A	GSM2304871	unknown
RELA	GSM604661	unknown
NANOG	GSM1933889	unknown
HOTAIR	GSM820439	unknown
TEAD1	GSM1664955	unknown
TAL1	GSM837997	unknown
CTCF	GSM2026783	unknown
NRF1	GSM935648	unknown
CNOT3	GSM1617391	unknown
CBX5	ENCSR372GIN_2	GM12878
AR	GSM1308235	unknown
STAG1	GSM1233975	unknown
FOXA1	GSM1164144	unknown
POLR2A	GSM1405121	unknown
MITF	GSM1226222	unknown
TEAD4	GSM1667162	unknown
POLR2A	GSM2571052	unknown
EWSR1	GSM2472082	unknown
ASCL1	GSM1499401	unknown
CDK8	GSM1893932	unknown
NR3C1	ENCSR660RYY_3	unknown
MYC	GSM808774	unknown
POLR2A	GSM2642506	unknown
POU2F2	GSM803397	unknown
DNMT3B	GSM1607393	unknown
POLR2A	GSM2281664	unknown
MYC	GSM1423725	unknown
POLR2A	GSM1777593	unknown
ARID3A	GSM935336	unknown
ESR1	GSM1556928	unknown
DDX20	ENCSR446LAV_1	K562
ZNF580	ENCSR668HOP_2	HEK293
STAG1	GSM1655736	unknown
GABPA	ENCSR290MUH_2	K562
CTCF	GSM1022634	unknown
ESR1	GSM1858650	unknown
STAG1	GSM1234076	unknown
ZNF71	ENCSR121EZR_2	unknown
CTCF	GSM2877982	unknown
POLR2A	GSM2316356	unknown
BCL6	GSM2754203	unknown
E2F1	GSM699984	unknown
STAT1	GSM385506	unknown
TAL1	ENCSR106FRG_1	K562
TCF12	GSM803427	unknown
POLR3D	GSM2544233	unknown
PR	GSM2125132	unknown
INTS11	GSM2257575	unknown
POLR2A	GSM604665	unknown
ZNF143	GSM2024875	unknown
FOXA1	GSM2537229	unknown
TET2	GSM1152879	unknown
POLR2A	GSM2144896	unknown
TBX21	ENCSR739IHN_2	GM12878
ELF3	GSM1574273	unknown
ETS2	GSM1208738	unknown
ESR1	GSM2797111	unknown
AR	GSM817349	unknown
SPI1	GSM803531	unknown
MYC	GSM1493018	unknown
ELF1	GSM2224586	unknown
EP300	ENCSR841ASB_2	unknown
ZNF71	ENCSR121EZR_1	unknown
MED1	GSM2040025	unknown
POLR2A	GSM1579353	unknown
ESR1	GSM1669014	unknown
POLR2A	GSM1968286	unknown
RELA	GSM2103047	unknown
GATA3	GSM2644571	unknown
NOTCH1	GSM1252933	unknown
POLR2A	GSM803484	unknown
CEBPB	GSM2592797	unknown
AR	GSM1358399	unknown
ZBTB7A	GSM2771534	unknown
RNF2	ENCSR523XCR_1	HepG2
ZNF682	GSM2466632	unknown
FOXA1	GSM1463463	unknown
AR	GSM1586662	unknown
TP53	GSM1133482	unknown
TAF1	GSM803393	unknown
CDK9	GSM1249899	unknown
EP300	GSM1290183	unknown
ESR1	GSM2154985	unknown
ZNF121	GSM2026793	unknown
REST	GSM1290158	unknown
RELA	GSM486271	unknown
ESR1	GSM365926	unknown
CDK7	GSM1121096	unknown
CTCF	GSM2877980	unknown
IRF1	GSM1574276	unknown
CREB1	GSM1873046	unknown
BRD4	GSM2330591	unknown
FOXA1	GSM2171831	unknown
RB1	GSM1442891	unknown
CTCFL	GSM1239559	unknown
NR2F2	GSM1010782	unknown
CCDC101	GSM566156	unknown
GRHL2	GSM2970419	unknown
POLR2A	GSM1622632	unknown
AR	GSM2122804	unknown
FOXA2	GSM2430677	unknown
ZFP69B	ENCSR381VYR_1	HEK293
CEBPB	ENCSR269IUA_1	unknown
POLR3D	GSM1906350	unknown
TERC	GSM820437	unknown
POLR2A	GSM2816760	unknown
POLR2A	GSM803474	unknown
SUMO2	GSM1622608	unknown
BRD4	GSM2214077	unknown
ESR1	GSM1235010	unknown
SUMO2	GSM1622606	unknown
EP300	ENCSR610RKF_2	unknown
CHD2	GSM935378	unknown
ERG	GSM1193665	unknown
CDK9	GSM1249897	unknown
ESR1	GSM1187118	unknown
FOXJ2	ENCSR847LBF_2	K562
BRCA1	GSM935609	unknown
CEBPB	GSM2188502	unknown
FOXA1	GSM2797131	unknown
EBF1	GSM1958038	unknown
NIPBL	GSM1519152	unknown
SMARCA4	GSM2740928	unknown
POLR2A	GSM365929	unknown
CEBPB	GSM935622	unknown
POLR2A	GSM822275	unknown
POLR2A	ENCSR031TFS_2	K562
EHMT2	GSM2183948	unknown
CTCF	GSM614614	unknown
SP2	ENCSR807LQP_2	HEK293
POLR2A	GSM2644610	unknown
DEK	ENCSR219MKK_1	HeLa-S3
DNMT3A	GSM2735973	unknown
PBX3	GSM1010755	unknown
CDK2	GSM1302192	unknown
POLR2A	GSM1154513	unknown
POLR2A	GSM1055822	unknown
STAT3	GSM935551	unknown
PAF1	GSM1727099	unknown
GLIS1	ENCSR482BBZ_1	HEK293
TEAD2	ENCSR635GTR_2	K562
TFDP1	GSM2132554	unknown
SMAD3	GSM1246713	unknown
OVOL3	ENCSR768LIO_2	HEK293
ZNF143	GSM959051	unknown
BRD4	GSM2643540	unknown
FOXA1	GSM1354836	unknown
GATA3	GSM986076	unknown
FOXA1	GSM353630	unknown
ESR1	GSM2915378	unknown
CHD1	GSM831026	unknown
CEBPB	GSM2804466	unknown
CEBPB	ENCSR752AQK_2	unknown
BRD4	GSM1038284	unknown
CEBPB	ENCSR190VMK_3	unknown
SMARCA4	ENCSR839SFJ_2	unknown
MEF2B	GSM1647184	unknown
KLF11	GSM1443815	unknown
POLR2A	GSM2473254	unknown
TRIM28	GSM700358	unknown
CTCF	GSM586888	unknown
MYC	GSM935509	unknown
NR3C1	GSM2154993	unknown
POLR2A	GSM1679094	unknown
KLF7	ENCSR604VWJ_2	HEK293
ETS1	GSM2442776	unknown
ZNF682	GSM2466633	unknown
STAG1	GSM614623	unknown
KDM5B	GSM1122661	unknown
PRDM11	GSM1354548	unknown
RAD51	ENCSR524BUE_1	K562
TP53	GSM2296278	unknown
POLR2A	GSM2579067	unknown
POLR2A	GSM935354	unknown
FOXO1	GSM1668935	unknown
ZNF687	ENCSR899BKM_1	MCF-7
ESR1	GSM2467301	unknown
ZNF207	ENCSR683CSF_2	HepG2
NRF1	GSM935636	unknown
CTCF	ENCSR038FOS_1	suprapubic
EP300	GSM831036	unknown
ESR1	GSM2747695	unknown
SUMO2	GSM1555570	unknown
MYC	GSM1058989	unknown
CSDE1	ENCSR402XII_2	K562
RELA	GSM935531	unknown
TP53	GSM2944129	unknown
EP300	GSM986086	unknown
ESR1	GSM1669011	unknown
RNF2	GSM585231	unknown
EWSR1	GSM2666474	unknown
TP63	GSM538930	unknown
STAT5	GSM1690576	unknown
DCP1A	GSM891236	unknown
E2F1	GSM699987	unknown
CEBPA	GSM1020364	unknown
BRD4	GSM2330607	unknown
CTCF	GSM2870996	unknown
GLI2	GSM2661795	unknown
SPI1	GSM1816089	unknown
SIN3A	ENCSR920BLG_1	K562
POLR2A	GSM486506	unknown
HDAC2	ENCSR075HTM_1	K562
POLR2A	GSM637409	unknown
CTCF	ENCSR173AIR_1	stomach
ZNF263	GSM935532	unknown
RB1	GSM497491	unknown
SND1	GSM729851	unknown
TFAP2C	GSM1469998	unknown
RAD21	GSM1861938	unknown
HLF	ENCSR528PSI_1	HepG2
FOXK2	ENCSR302AWT_1	K562
HIF1A	GSM1634922	unknown
POLR2A	GSM301581	unknown
KDM5B	GSM1122653	unknown
SMC1A	GSM2443456	unknown
FOXA1	GSM2219866	unknown
FOXM1	GSM1010750	unknown
ASCL1	GSM1700641	unknown
SPI1	GSM1782712	unknown
ERG	GSM1328981	unknown
FOXA1	GSM1410776	unknown
PR	GSM1669121	unknown
GATA2	GSM2494984	unknown
POLR2A	GSM1305213	unknown
POLR2A	GSM1586675	unknown
ESR1	GSM2747693	unknown
GATA4	GSM1505653	unknown
GTF2B	GSM1846807	unknown
LMTK3	GSM1726362	unknown
SMC3	GSM2747758	unknown
MED1	GSM1537680	unknown
CTCF	GSM822308	unknown
ESR1	GSM2125135	unknown
GATA1	GSM2877122	unknown
ZNF263	GSM935577	unknown
CTCF	GSM2747722	unknown
OTX2	GSM2432973	unknown
HDGF	ENCSR145XQO_2	GM12878
JUND	GSM1003634	unknown
ERG	GSM1193658	unknown
GTF2B	GSM1846787	unknown
FOSL2	ENCSR900RUE_3	unknown
POLR2A	GSM997542	unknown
EBF3	GSM2410317	unknown
POLR2A	GSM1727113	unknown
ARID1A	GSM2480807	unknown
CTCF	GSM822294	unknown
SMAD2-SMAD3	GSM727583	unknown
PR	GSM2797144	unknown
CTCF	GSM1224649	unknown
SP1	GSM803363	unknown
CTCF	GSM2877990	unknown
TET2	GSM1863065	unknown
HCFC1	GSM1037511	unknown
ELF1	GSM1010751	unknown
FUS	GSM1480742	unknown
NOTCH1	GSM1922949	unknown
IKZF1	GSM1420198	unknown
BRD4	GSM1503858	unknown
AR	GSM1328955	unknown
BMI1	GSM1424587	unknown
EGR1	GSM540707	unknown
MYC	GSM894059	unknown
CEBPB	ENCSR299ILN_3	unknown
BANP	GSM1716500	unknown
POLR2A	GSM748554	unknown
BCL6	GSM1084801	unknown
MEF2A	GSM1010834	unknown
NR3C1	ENCSR255CTA_1	unknown
ASCL1	GSM1499405	unknown
IRF4	GSM1370291	unknown
HES2	ENCSR425MXK_1	unknown
PAF1	GSM1727112	unknown
TRIM28	GSM1505798	unknown
E2F5	ENCSR709DRM_1	K562
CREB1	GSM1861932	unknown
POLR2A	GSM1527706	unknown
AR	GSM1354831	unknown
NFE2L2	GSM2394418	unknown
OGT	GSM897578	unknown
CEBPB	GSM1010852	unknown
FAIRE	GSM491290	unknown
POLR2A	GSM1545664	unknown
E2F1	GSM1133656	unknown
BRCA1	GSM935517	unknown
POLR2A	GSM803533	unknown
POLR2AphosphoS5	ENCSR889GGV_1	unknown
POLR2A	GSM2218639	unknown
HES2	ENCSR686BIE_1	unknown
TFDP1	GSM1208691	unknown
CTCF	GSM749677	unknown
EP300	GSM1669061	unknown
POLR2A	GSM808756	unknown
AR	GSM1527843	unknown
EP300	ENCSR124VXG_2	unknown
USF1	GSM803347	unknown
USF1	GSM803472	unknown
EP300	GSM929090	unknown
EP300	GSM749524	unknown
BRD4	GSM2543129	unknown
AR	GSM2797122	unknown
ZNF639	ENCSR845BCL_1	K562
GATA6	GSM1197321	unknown
FOXP1	GSM768310	unknown
SP4	GSM2026798	unknown
FOXA1	GSM1716765	unknown
SP1	GSM803377	unknown
BCL11A	ENCSR021DJC_2	HEK293
EP300	GSM1645719	unknown
PRMT1	GSM2977010	unknown
ATF3	GSM1917770	unknown
RXRA	GSM2877304	unknown
POLR2A	GSM1527695	unknown
TFAP2C	GSM1469997	unknown
POLR2A	GSM2676804	unknown
ZNF584	ENCSR149ZBI_1	K562
ESR1	GSM1469979	unknown
BRD4	GSM2214098	unknown
SAP30	GSM831019	unknown
MYC	GSM2065883	unknown
FOXA2	GSM2977505	unknown
ZBTB16	GSM2947311	unknown
GATA3	GSM2644580	unknown
AR	GSM2086307	unknown
NIPBL	GSM1579363	unknown
TCF7L2	GSM816437	unknown
MEF2B	GSM1703930	unknown
E2F4	GSM599837	unknown
GATA3	GSM935445	unknown
ZBTB7A	ENCSR773REP_1	HEK293
SOX9	GSM1554224	unknown
ZNF8	ENCSR217EOY_2	unknown
AR	GSM717392	unknown
ERG	GSM585590	unknown
POLR2A	GSM1850205	unknown
SPI1	GSM1681425	unknown
SIX5	GSM803383	unknown
CTCF	GSM749693	unknown
EP300	GSM807735	unknown
NR3C1	GSM1607527	unknown
AR	GSM1515524	unknown
CTCF	GSM748539	unknown
ZNF143	GSM959049	unknown
EP300	GSM1669029	unknown
NR2C2	GSM1126875	unknown
ZBTB48	GSM2543151	unknown
E2F6	GSM935597	unknown
EP300	GSM2550188	unknown
AR	GSM2058894	unknown
GTF2B	GSM938410	unknown
POLR2A	GSM894107	unknown
CTCF	GSM1234200	unknown
PHIP	GSM2711380	unknown
ELF1	GSM1010764	unknown
POLR2A	GSM1164250	unknown
ESR1	GSM2144758	unknown
ZNF75D	GSM2466648	unknown
NR3C1	GSM1858632	unknown
CTCF	GSM2599089	unknown
NR3C1	ENCSR720DXT_3	unknown
ZBTB48	GSM2543159	unknown
RELA	GSM2394424	unknown
SUMO1	GSM1012771	unknown
MAML3	GSM1693097	unknown
POLR2A	GSM1415124	unknown
ZNF740	ENCSR532EMP_2	K562
FAIRE	GSM748516	unknown
MYC	GSM822291	unknown
POLR2A	GSM1976307	unknown
RELA	GSM486305	unknown
JMJD6	GSM1249879	unknown
EGR1	GSM803414	unknown
REPIN1	GSM1113433	unknown
BCL6	GSM1133657	unknown
ARID2	GSM2495986	unknown
ZBTB7A	GSM2771536	unknown
POLR2A	GSM1416813	unknown
FLI1	GSM1517546	unknown
BHLHE40	GSM935566	unknown
TAL1	GSM1291197	unknown
CEBPB	GSM785502	unknown
POLR2A	GSM733759	unknown
CDK7	GSM2218757	unknown
RUNX1	GSM2274676	unknown
EHMT2	GSM1644651	unknown
GATA3	GSM986070	unknown
CTCF	ENCSR402IDP_1	MM.1S
RUNX2	GSM2041108	unknown
NANOG	GSM456572	unknown
AR	GSM1527834	unknown
SPI1	GSM1782711	unknown
YY1	GSM1708340	unknown
CTCF	GSM849303	unknown
MED1	GSM959629	unknown
GLIS2	ENCSR535DIA_1	HEK293
MYC	GSM808773	unknown
SMARCC1	GSM1835891	unknown
MYC	GSM822290	unknown
PML	GSM1010838	unknown
POLR2A	GSM2519956	unknown
MYC	GSM748533	unknown
GATA3	GSM2154998	unknown
EP300	GSM935545	unknown
EP300	GSM986085	unknown
FLI1	GSM1517562	unknown
POLR2A	GSM1872292	unknown
CTCF	GSM749694	unknown
AR	GSM1328956	unknown
SPI1	GSM1334006	unknown
GATA1	GSM1067274	unknown
HNF4G	ENCSR297GII_1	liver
NONO	ENCSR912NMR_1	MCF-7
MYC	GSM1430922	unknown
CEBPB	GSM935553	unknown
ZSCAN16	ENCSR864VJE_1	HEK293
VDR	GSM934614	unknown
NR1H2	GSM2042843	unknown
GATA3	GSM1844610	unknown
KLF10	GSM2574805	unknown
MYC	GSM991047	unknown
ATF4	GSM1697348	unknown
TAL1	GSM837999	unknown
EP300	GSM1333964	unknown
TCF7L1	GSM957607	unknown
HDAC2	GSM2302873	unknown
POLR2A	GSM2067538	unknown
GTF2F1	GSM935554	unknown
ESR1	GSM631468	unknown
AR	GSM1843411	unknown
TAL1	GSM2877107	unknown
STAT5B	GSM1577746	unknown
AFF1	GSM2364549	unknown
MYC	GSM1145797	unknown
RELA	GSM1305211	unknown
INTS11	GSM2257576	unknown
AR	GSM1069670	unknown
MYC	GSM1386342	unknown
AFF4	GSM2373720	unknown
YY1	GSM803516	unknown
ARID1A	GSM2480806	unknown
POLR2A	GSM1037521	unknown
FOXA1	GSM1858643	unknown
TP63	GSM1849667	unknown
CTCF	GSM1234078	unknown
BRD9	GSM2092890	unknown
SPI1	GSM1703900	unknown
POLR2A	GSM2042899	unknown
PR	GSM1669075	unknown
YAP1	GSM1614028	unknown
ESR1	GSM1669042	unknown
ZNF362	ENCSR715QNO_1	HEK293
SOX2	GSM1505764	unknown
CEBPB	ENCSR474DCX_3	unknown
ZEB2	ENCSR322CFO_2	K562
JUND	GSM803500	unknown
ZFX	ENCSR920ASP_1	K562
GATAD1	GSM1959092	unknown
REST	GSM803369	unknown
BMI1	GSM838673	unknown
FOXA1	GSM798436	unknown
RAD21	GSM614619	unknown
POLR2A	GSM325933	unknown
POLR2A	GSM2151635	unknown
POLR2A	GSM1545657	unknown
ZEB1	GSM2857242	unknown
JARID2	GSM1180165	unknown
HSF1	GSM951898	unknown
SPI1	GSM1566567	unknown
SUMO2	GSM1777605	unknown
INO80	GSM2877259	unknown
MAX	GSM935539	unknown
SMC3	ENCSR481YWD_1	A549
LMNA	GSM1023622	unknown
XBP1	GSM1276192	unknown
SUMO1	GSM1012764	unknown
ESR1	GSM803422	unknown
CREB1	GSM1861930	unknown
GATA2	GSM1691145	unknown
CTCF	GSM1022676	unknown
HOTAIR	GSM820434	unknown
CEBPB	ENCSR269IUA_2	unknown
CTCF	GSM2747714	unknown
NR3C1	ENCSR660RYY_2	unknown
BCL3	ENCSR948JXU_1	unknown
GREB1	GSM1019132	unknown
FOXA1	GSM1691151	unknown
HDGF	ENCSR563YDA_2	K562
POLR2A	GSM486496	unknown
POLR2A	GSM1446923	unknown
KAT5	GSM1705249	unknown
HNF4A	GSM575229	unknown
FOXA1	GSM1164150	unknown
RCOR1	ENCSR391JII_1	MCF-7
GATA6	GSM1151694	unknown
POLR2A	GSM840279	unknown
CEBPB	GSM1684634	unknown
NFYA	GSM935508	unknown
GATA4	GSM1250900	unknown
EP300	GSM1669064	unknown
GATA2	GSM935347	unknown
CTCF	GSM1705253	unknown
POLR2A	GSM2465084	unknown
AFF1	GSM941544	unknown
SPI1	GSM1642764	unknown
SMC3	GSM1208679	unknown
CTCF	GSM749667	unknown
POLR2A	GSM2151683	unknown
CHD1	GSM2359990	unknown
TP73	GSM501688	unknown
STAG1	GSM2140684	unknown
ZBTB40	ENCSR318LVG_2	MCF-7
CTCF	GSM2178295	unknown
CTCF	GSM1208603	unknown
EP300	GSM602291	unknown
PPARG	GSM1571740	unknown
ZNF143	GSM935613	unknown
FOSL1	GSM2635308	unknown
HDAC3	GSM717402	unknown
SP2	GSM1010776	unknown
TCF7	GSM1295635	unknown
ESR1	GSM1858637	unknown
OTX2	GSM1505712	unknown
SPI1	GSM803398	unknown
BRD4	GSM2090922	unknown
SOX4	GSM1970165	unknown
AR	GSM916521	unknown
ESR1	GSM1187116	unknown
AR	GSM1069682	unknown
NEUROG2	GSM1970154	unknown
SUMO2	GSM1035426	unknown
FOSL2	ENCSR535HFQ_3	unknown
ESR1	GSM798401	unknown
NR2C2	GSM608158	unknown
RBL2	GSM802405	unknown
CTCF	GSM646433	unknown
CDK9	GSM1670716	unknown
STAG1	GSM614608	unknown
TCF12	GSM1010900	unknown
NR3C1	GSM980655	unknown
ZNF76	GSM2026779	unknown
RELA	GSM486302	unknown
REST	GSM1010841	unknown
EPC1	GSM1705248	unknown
AR	GSM1907200	unknown
GATA1	GSM1782702	unknown
EHMT2	GSM1644665	unknown
SUMO2	GSM1622607	unknown
POLR2A	GSM1679132	unknown
MLLT1	ENCSR107GRP_1	K562
MEIS1	GSM940322	unknown
POLR2A	GSM2467773	unknown
ESR1	GSM2112798	unknown
RAD21	GSM803466	unknown
ZNF146	ENCSR689YFA_2	HEK293
ZFP28	GSM2026836	unknown
PR	GSM1669037	unknown
RELA	GSM486324	unknown
POLR2M	GSM802745	unknown
TEAD4	GSM1084785	unknown
POLR2A	GSM1305215	unknown
CDK9	GSM2405928	unknown
CEBPB	ENCSR375BUB_1	unknown
RELA	GSM486317	unknown
SMC1A	GSM2247253	unknown
NRF1	ENCSR135ANT_1	MCF-7
SMARCA4	GSM2740926	unknown
FOXA1	GSM1068136	unknown
HDAC2	ENCSR337NWW_2	HepG2
POLR2A	GSM1869144	unknown
TAL1	GSM908055	unknown
CTCF	GSM2877981	unknown
TP53	GSM1294878	unknown
RAD21	GSM614628	unknown
CPSF3L	GSM1482887	unknown
E2F1	GSM1207893	unknown
POLR2A	GSM802741	unknown
RAD21	GSM1861937	unknown
AR	GSM984388	unknown
ESR1	GSM1967547	unknown
FOSL2	ENCSR242EWU_3	unknown
AR	GSM1354830	unknown
BRD3	GSM1416807	unknown
MED1	GSM2464863	unknown
POLR2A	GSM2635250	unknown
MAX	GSM894103	unknown
FOS	GSM487426	unknown
POLR2H	ENCSR400FSM_2	K562
POLR2A	GSM486458	unknown
SAP30	GSM1003572	unknown
PYGO2	ENCSR410DWC_2	K562
NFE2L2	ENCSR197WGI_1	IMR-90
CEBPB	ENCSR752AQK_3	unknown
ZNF766	ENCSR194IJN_1	K562
KLF1	GSM2026804	unknown
POLR2A	GSM2572689	unknown
MED12	GSM1970176	unknown
REST	GSM1010786	unknown
BACH2	GSM2738059	unknown
